;+#;Nombre;Precio;1h %;24 h %;7d %;Cap. de Mercado;Volumen (24h);Acciones en circulación
0;1;Bitcoin BTC;$63,574.51;+0.44%;+3.54%;-9.26%;$1.25T $1,251,701,099,109;$36,123,502,819 567,321 BTC;19,686,462 BTC
1;2;Ethereum ETH;$3,071.91;+0.36%;+2.76%;-12.28%;$368.86B $368,860,942,327;$15,290,166,737 4,966,720 ETH;120,072,117 ETH
2;12;Avalanche AVAX;$34.95;+0.53%;+4.04%;-24.04%;$13.21B $13,212,346,813;$562,791,218 15,987,251 AVAX;377,988,779 AVAX
3;13;Polkadot DOT;$6.80;+0.52%;+3.18%;-18.60%;$9.76B $9,757,503,461;$178,907,227 26,445,161 DOT;1,435,199,489 DOT
4;18;NEAR Protocol NEAR;$5.71;+0.80%;+5.26%;-15.90%;$6.09B $6,093,171,087;$604,101,026 103,065,790 NEAR;1,066,538,745 NEAR
5;23;Uniswap UNI;$7.33;+1.01%;+6.17%;-19.85%;$4.39B $4,386,484,780;$139,958,386 19,369,961 UNI;598,736,140 UNI
6;51;Lido DAO LDO;$2.00;+0.27%;+5.26%;-21.25%;$1.78B $1,783,639,983;$54,756,670 27,360,059 LDO;891,732,880 LDO
7;69;Aave AAVE;$85.57;+0.34%;+2.18%;-27.47%;$1.27B $1,266,858,361;$74,627,963 867,342 AAVE;14,804,816 AAVE
8;85;Synthetix SNX;$2.87;+0.86%;+2.89%;-25.31%;$941.72M $941,718,600;$34,802,454 12,179,948 SNX;327,769,196 SNX
9;95;Mina MINA;$0.7898;+0.45%;+2.68%;-22.93%;$859.79M $859,785,683;$25,656,078 32,073,570 MINA;1,088,582,611 MINA
10;113;dYdX (ethDYDX) ETHDYDX;$2.22;+0.34%;+5.59%;-25.38%;$617.18M $617,183,154;$46,670,593 20,981,634 ETHDYDX;277,949,551 ETHDYDX
11;124;WOO WOO;$0.2894;+0.91%;+4.34%;-26.87%;$536.67M $536,665,340;$12,267,809 42,240,153 WOO;1,854,492,544 WOO
12;147;Compound COMP;$54.10;+0.36%;+3.92%;-22.65%;$438.81M $438,813,560;$25,916,233 482,512 COMP;8,111,171 COMP
13;246;yearn.finance YFI;$6,995.85;+0.62%;+3.97%;-16.18%;$233.46M $233,464,679;$23,091,955 3,310 YFI;33,374 YFI
14;256;Balancer BAL;$3.86;+0.45%;+2.95%;-20.77%;$217.15M $217,151,974;$6,968,779 1,809,836 BAL;56,207,134 BAL
15;270;Synapse SYN;$1.11;-0.64%;+16.80%;-9.00%;$206.56M $206,561,356;$27,814,874 25,574,495 SYN;186,802,019 SYN
16;379;Orca ORCA;$2.35;+0.35%;+4.42%;-23.13%;$117.67M $117,673,581;$5,084,774 2,123,085 ORCA;49,990,353 ORCA
17;405;Kyber Network Crystal v2 KNC;$0.579;+0.53%;+3.36%;-22.60%;$108.86M $108,855,083;$14,635,298 25,322,184 KNC;187,991,304 KNC
18;439;DODO DODO;$0.1541;+0.53%;+1.29%;-33.47%;$94.67M $94,665,917;$5,188,282 33,246,726 DODO;614,617,713 DODO
19;513;Perpetual Protocol PERP;$1.05;+0.40%;+2.23%;-28.57%;$69.26M $69,263,587;$8,084,847 7,673,328 PERP;66,002,157 PERP
20;672;Bonfida FIDA;$0.316;+0.90%;+4.29%;-28.66%;$39.19M $39,188,550;$5,026,995 15,952,099 FIDA;124,028,726 FIDA
21;715;Tranchess CHESS;$0.2067;+0.86%;+3.00%;-20.04%;$32.56M $32,556,272;$4,739,816 22,430,179 CHESS;157,492,319 CHESS
22;1061;Carbon Protocol SWTH;$0.006362;+0.09%;-8.03%;-28.64%;$10.09M $10,087,776;$5,485 840,241 SWTH;1,585,510,090 SWTH
23;1093;Multichain MULTI;$0.6533;-0.52%;-11.54%;-12.17%;$9.5M $9,499,857;$666,764 1,043,032 MULTI;14,541,094 MULTI
24;1144;dHedge DAO DHT;$0.1424;-4.82%;-7.95%;-15.04%;$7.24M $7,239,342;$6,465 41,312 DHT;50,834,783 DHT
25;1224;mStable Governance Token: Meta (MTA) MTA;$0.105;+0.76%;+180.69%;-44.39%;$6.71M $6,709,465;$228,145 2,280,417 MTA;63,851,860 MTA
26;1686;Rook ROOK;$1.69;+0.12%;-0.44%;-19.57%;$1.04M $1,043,976;$8,937 5,003 ROOK;617,636 ROOK
27;2101;Nerve Finance NRV;$0.003762;+0.07%;-0.06%;-7.11%;$173,818.48 $173,818;$24,185 6,416,357 NRV;46,237,771 NRV
28;3624;Jet Protocol JET;$0.002041;-0.01%;-0.44%;-4.18%;$3.47M $3,469,411;$131,755 64,559,506 JET;1,700,000,000 JET
29;3825;Realy REAL;$0.1015;+0.16%;-1.05%;-20.05%;$507,444 $507,444;$80,756 795,712 REAL;5,000,000 REAL
30;4431;HXRO HXRO;$0.07833;+0.29%;+0.53%;-17.90%;$47.66M $47,657,647;$21,573 276,298 HXRO;610,385,617 HXRO
31;4977;Ardana DANA;$0.001772;-0.15%;+0.08%;-26.15%;--;$14,409 8,159,400 DANA;0 DANA
32;5108;Futureswap FST;$0.02724;+0.16%;+1.35%;-21.85%;$713,009.91 $713,010;$8,787 327,866 FST;26,605,057 FST
33;8287;Kyber Network Crystal Legacy KNCL;$0.8857;+0.00%;+0.00%;+18.44%;$181.62M $181,616,000;--;205,045,092 KNCL
34;--;Compound Uni CUNI;--;--;--;--;--;--;--
