;+#;Nombre;Precio;1h %;24 h %;7d %;Cap. de Mercado;Volumen (24h);Acciones en circulación
0;1;Bitcoin BTC;$63,503.92;+0.10%;+3.72%;-9.30%;$1.25T $1,250,167,456,062;$36,065,316,667 566,995 BTC;19,686,462 BTC
1;2;Ethereum ETH;$3,070.29;+0.24%;+3.05%;-12.32%;$368.66B $368,656,733,105;$15,234,762,413 4,953,971 ETH;120,072,117 ETH
2;5;Solana SOL;$142.63;+1.23%;+7.68%;-17.24%;$63.73B $63,732,171,247;$4,199,703,544 29,315,272 SOL;446,820,711 SOL
3;12;Avalanche AVAX;$34.89;+0.14%;+4.07%;-24.07%;$13.19B $13,186,762,802;$561,675,151 16,031,913 AVAX;377,988,779 AVAX
4;13;Polkadot DOT;$6.78;+0.13%;+3.15%;-18.76%;$9.74B $9,736,890,310;$179,319,881 26,320,366 DOT;1,435,199,489 DOT
5;42;Injective INJ;$27.71;+0.36%;+5.78%;-12.62%;$2.59B $2,588,269,819;$177,880,341 6,377,828 INJ;93,400,000 INJ
6;93;Nervos Network CKB;$0.02009;+0.35%;-4.89%;-29.52%;$883.77M $883,768,376;$91,610,766 4,508,307,458 CKB;43,985,099,058 CKB
7;155;FTX Token FTT;$1.26;+0.11%;+2.63%;-28.12%;$415.3M $415,303,214;$9,680,815 7,632,234 FTT;328,895,104 FTT
8;234;Kusama KSM;$31.30;+0.15%;+2.67%;-21.32%;$265.15M $265,148,132;$18,288,364 582,133 KSM;8,470,098 KSM
9;290;Xai XAI;$0.6783;+0.29%;+0.86%;-32.73%;$187.96M $187,962,136;$19,578,139 28,780,360 XAI;277,118,150 XAI
10;441;DODO DODO;$0.1539;+0.39%;+1.45%;-33.40%;$94.6M $94,603,845;$5,181,335 33,584,179 DODO;614,617,713 DODO
11;517;Perpetual Protocol PERP;$1.05;+0.29%;+2.45%;-28.61%;$69.27M $69,273,010;$8,078,415 7,680,360 PERP;66,002,157 PERP
12;624;Linear Finance LINA;$0.007795;+0.29%;+5.44%;-38.36%;$47.58M $47,584,049;$9,321,750 1,190,405,148 LINA;6,103,621,473 LINA
13;672;Bonfida FIDA;$0.3154;+0.47%;+4.62%;-28.66%;$39.1M $39,104,517;$5,025,607 15,915,964 FIDA;124,028,726 FIDA
14;812;GameGPT DUEL;$0.01639;-0.14%;+3.30%;-23.29%;$23.84M $23,843,775;$18,684,717 1,142,730,099 DUEL;1,454,408,582 DUEL
15;999;UX Chain UX;$0.003279;-0.03%;-4.42%;-27.08%;$13.06M $13,063,631;$165,088 50,113,681 UX;3,984,164,930 UX
16;1037;Serum SRM;$0.04405;+0.30%;+7.18%;-21.86%;$11.6M $11,598,628;$1,421,682 32,557,253 SRM;263,244,669 SRM
17;1408;Kylin KYL;$0.01165;+0.13%;+1.93%;-7.94%;$3.15M $3,147,621;--;270,259,840 KYL
18;1449;Standard STND;$0.03144;+0.61%;+0.91%;-20.31%;$2.69M $2,690,190;$386,758 12,308,246 STND;85,574,950 STND
19;1616;Convergence CONV;$0.0008838;+2.56%;+11.51%;-22.00%;$1.47M $1,468,425;$835,602 964,336,976 CONV;1,663,854,925 CONV
20;1721;MAPS MAPS;$0.02116;+0.17%;+0.46%;-18.17%;$962,866.66 $962,867;$151,930 7,187,760 MAPS;45,496,728 MAPS
21;1876;Opium OPIUM;$0.1209;-0.39%;-0.96%;-7.27%;$503,013.06 $503,013;$51,418 425,676 OPIUM;4,161,204 OPIUM
22;2036;PowerTrade Fuel PTF;$0.009975;-0.09%;+1.65%;-11.82%;$232,533 $232,533;$125,390 12,545,163 PTF;23,311,586 PTF
23;2629;Chainflip FLIP;$3.29;-0.55%;-5.37%;-31.61%;$56.75M $56,749,142;$1,991,008 605,519 FLIP;17,258,935 FLIP
24;3567;Jet Protocol JET;$0.002051;+0.01%;+0.05%;-3.70%;$3.49M $3,486,729;$132,083 64,398,938 JET;1,700,000,000 JET
25;4212;BlockchainSpace GUILD;$0.005287;+0.29%;+0.09%;-16.21%;$1.62M $1,623,082;$42,148 7,972,753 GUILD;307,026,054 GUILD
26;4623;HXRO HXRO;$0.07833;+0.29%;+0.63%;-17.58%;$47.74M $47,744,092;$21,364 273,125 HXRO;610,385,617 HXRO
27;--;Lina Network LINA;--;--;--;--;--;--;--
28;--;Siren SI;--;--;--;--;--;--;--
29;--;Phantasia Sports $FANT;--;--;--;--;--;--;--
30;--;Dojima Network DOJ;--;--;--;--;--;--;--
31;--;BounceBit BB;--;--;--;--;--;--;--
