;+#;Nombre;Precio;1h %;24 h %;7d %;Cap. de Mercado;Volumen (24h);Acciones en circulación
0;1;Bitcoin BTC;$63,552.08;+0.13%;+3.76%;-9.18%;$1.25T $1,251,115,608,184;$36,088,133,404 590,763 BTC;19,686,462 BTC
1;2;Ethereum ETH;$3,071.05;+0.21%;+3.03%;-12.22%;$368.63B $368,629,311,325;$15,245,021,950 5,136,365 ETH;120,072,117 ETH
2;12;Avalanche AVAX;$34.89;+0.23%;+4.04%;-24.06%;$13.19B $13,188,153,250;$561,835,576 16,683,224 AVAX;377,988,779 AVAX
3;14;Polkadot DOT;$6.78;+0.13%;+3.14%;-18.75%;$9.74B $9,739,104,036;$179,240,811 27,427,436 DOT;1,435,199,489 DOT
4;20;Internet Computer ICP;$12.90;+1.39%;+8.70%;-16.60%;$5.97B $5,971,300,373;$145,408,721 12,267,308 ICP;462,882,063 ICP
5;31;Cosmos ATOM;$8.22;+0.04%;+2.15%;-23.16%;$3.22B $3,215,950,356;$152,005,916 18,968,383 ATOM;390,930,671 ATOM
6;32;Filecoin FIL;$6.02;+0.59%;+3.01%;-24.91%;$3.25B $3,249,304,959;$193,497,573 33,402,245 FIL;539,740,525 FIL
7;34;Arbitrum ARB;$1.14;+0.09%;+3.22%;-19.26%;$3.03B $3,029,340,087;$275,545,102 246,523,554 ARB;2,653,939,384 ARB
8;35;Bittensor TAO;$468.03;+0.63%;+3.91%;-25.33%;$3.1B $3,096,496,591;$43,957,987 99,554 TAO;6,616,067 TAO
9;37;Maker MKR;$3,023.66;-0.68%;-3.94%;-9.73%;$2.8B $2,796,253,904;$116,935,117 37,207 MKR;924,717 MKR
10;40;Kaspa KAS;$0.1191;+0.27%;+0.17%;-17.82%;$2.78B $2,784,355,311;$45,804,961 394,029,154 KAS;23,377,597,647 KAS
11;83;Tezos XTZ;$0.9769;+0.10%;+3.51%;-23.66%;$956.02M $956,021,050;$36,206,365 38,754,786 XTZ;978,589,582 XTZ
12;85;Nervos Network CKB;$0.0201;+0.47%;-4.86%;-29.34%;$883.99M $883,986,024;$91,604,313 4,489,197,105 CKB;43,985,099,058 CKB
13;95;Mina MINA;$0.7893;+0.22%;+2.87%;-22.99%;$859.28M $859,275,733;$25,617,878 33,888,137 MINA;1,088,582,611 MINA
14;99;Axelar AXL;$1.20;-0.36%;+3.77%;-9.83%;$756.18M $756,181,587;$30,286,710 26,443,431 AXL;632,703,134 AXL
15;112;Oasis Network ROSE;$0.09602;+1.10%;+6.26%;-23.04%;$644.78M $644,776,033;$25,202,939 281,962,393 ROSE;6,713,599,876 ROSE
16;137;Manta Network MANTA;$1.83;+0.08%;+0.18%;-30.99%;$458.75M $458,746,036;$58,957,294 33,336,254 MANTA;251,000,000 MANTA
17;144;Compound COMP;$54.07;+0.28%;+4.24%;-22.63%;$438.58M $438,584,375;$25,887,050 497,430 COMP;8,111,171 COMP
18;149;Celo CELO;$0.8072;+0.57%;+4.06%;-22.00%;$430.9M $430,904,233;$23,986,715 31,346,373 CELO;533,817,831 CELO
19;150;0x Protocol ZRX;$0.5056;+0.20%;+3.64%;-20.67%;$428.5M $428,499,036;$29,234,049 61,092,385 ZRX;847,496,055 ZRX
20;152;Zilliqa ZIL;$0.02443;+0.36%;+4.36%;-27.26%;$424.36M $424,362,080;$23,880,286 1,036,896,322 ZIL;17,372,203,179 ZIL
21;155;Altlayer ALT;$0.3763;-0.10%;+1.12%;-32.64%;$413.91M $413,907,029;$55,035,723 153,178,508 ALT;1,100,000,000 ALT
22;244;yearn.finance YFI;$6,987.70;+0.52%;+4.02%;-16.13%;$233.18M $233,180,096;$23,060,569 3,430 YFI;33,374 YFI
23;309;Keep Network KEEP;$0.1611;+0.33%;+1.49%;-24.57%;$153.23M $153,231,824;$15,662 93,929 KEEP;951,288,242 KEEP
24;352;NYM NYM;$0.1828;-0.04%;+1.17%;-18.21%;$131.08M $131,084,396;$1,903,559 10,506,960 NYM;717,197,731 NYM
25;419;Orchid OXT;$0.1072;+0.59%;+5.09%;-20.63%;$105.03M $105,028,692;$3,568,545 35,010,855 OXT;979,779,108 OXT
26;598;Kin KIN;$0.00001691;-0.50%;-1.96%;-14.95%;$49.66M $49,656,089;$239,596 13,991,125,606 KIN;2,935,737,051,545 KIN
27;2452;Polyhedra Network ZK;$1.79;-0.69%;+7.24%;-25.30%;$149.03M $149,029,666;$28,886,361 17,638,494 ZK;91,000,000 ZK
28;2563;Connext Network NEXT;$0.1828;+0.11%;+0.22%;-17.79%;$19.3M $19,295,390;$3,603,306 19,981,650 NEXT;107,000,000 NEXT
29;4956;NuCypher NU;$0.1088;-0.08%;+3.55%;-26.79%;$150.11M $150,111,222;$4,649 42,757 NU;1,380,688,920 NU
30;--;Axelar WAXL;--;--;--;--;--;--;--
