;+#;Nombre;Precio;1h %;24 h %;7d %;Cap. de Mercado;Volumen (24h);Acciones en circulación
0;1;Bitcoin BTC;$63,523.41;+0.21%;+3.67%;-9.17%;$1.25T $1,250,551,151,170;$36,091,202,140 567,576 BTC;19,686,462 BTC
1;2;Ethereum ETH;$3,069.91;+0.24%;+2.95%;-12.25%;$368.61B $368,610,907,894;$15,246,003,551 4,962,234 ETH;120,072,117 ETH
2;23;Uniswap UNI;$7.31;+0.85%;+6.31%;-19.68%;$4.38B $4,379,726,199;$139,875,550 19,160,423 UNI;598,736,140 UNI
3;32;Cosmos ATOM;$8.23;+0.12%;+2.16%;-23.06%;$3.22B $3,216,717,589;$151,946,155 18,405,543 ATOM;390,930,671 ATOM
4;40;Maker MKR;$3,025.16;-0.62%;-3.98%;-9.61%;$2.8B $2,797,418,270;$116,891,666 38,519 MKR;924,717 MKR
5;52;Lido DAO LDO;$2.00;-0.03%;+5.24%;-21.25%;$1.78B $1,780,858,053;$54,483,354 27,214,266 LDO;891,732,880 LDO
6;86;Synthetix SNX;$2.87;+0.66%;+2.83%;-25.38%;$940.24M $940,241,352;$34,165,184 11,898,813 SNX;327,769,196 SNX
7;106;Echelon Prime PRIME;$19.03;+0.15%;+9.08%;-12.26%;$680.95M $680,947,901;$12,755,804 669,540 PRIME;35,773,841 PRIME
8;113;dYdX (ethDYDX) ETHDYDX;$2.22;+0.29%;+5.70%;-25.23%;$617.1M $617,100,785;$46,478,977 20,864,664 ETHDYDX;277,949,551 ETHDYDX
9;145;Compound COMP;$54.09;+0.32%;+4.24%;-22.56%;$438.73M $438,725,530;$25,887,815 478,054 COMP;8,111,171 COMP
10;162;Siacoin SC;$0.007045;+0.42%;+3.03%;-24.89%;$401.42M $401,417,558;$14,995,957 2,125,970,340 SC;56,988,350,306 SC
11;325;Numeraire NMR;$24.83;+0.54%;+5.83%;-24.37%;$155.88M $155,876,809;$5,217,240 209,897 NMR;6,278,303 NMR
12;331;Keep Network KEEP;$0.1611;+0.28%;+0.43%;-24.56%;$153.23M $153,231,265;$15,662 96,818 KEEP;951,288,242 KEEP
13;488;Gitcoin GTC;$1.20;+0.32%;+3.60%;-31.33%;$79.42M $79,417,929;$7,615,265 6,338,362 GTC;66,291,054 GTC
14;2722;Euler EUL;$4.61;+0.89%;+2.71%;-17.06%;$76.52M $76,520,366;$1,140,600 248,432 EUL;16,666,735 EUL
15;4778;Game.com GTC;$0.0005785;-0.01%;+0.35%;-7.58%;--;$16,982 29,364,209 GTC;--
16;--;Blast ---;--;--;--;--;--;--;--
