;+#;Nombre;Precio;1h %;24 h %;7d %;Cap. de Mercado;Volumen (24h);Acciones en circulación
0;1;Bitcoin BTC;$63,560.38;+0.36%;+3.58%;-9.20%;$1.25T $1,251,279,071,865;$36,118,072,289 568,227 BTC;19,686,462 BTC
1;2;Ethereum ETH;$3,071.00;+0.34%;+2.77%;-12.23%;$368.74B $368,741,873,724;$15,277,385,161 4,972,975 ETH;120,072,117 ETH
2;25;Ethereum Classic ETC;$26.20;+0.17%;+2.81%;-22.32%;$3.84B $3,842,021,164;$196,845,625 7,489,930 ETC;146,619,910 ETC
3;28;Stacks STX;$2.45;-0.24%;+8.18%;-17.53%;$3.56B $3,561,489,740;$146,267,922 59,632,225 STX;1,453,311,822 STX
4;31;Filecoin FIL;$6.02;+0.68%;+2.80%;-25.03%;$3.25B $3,250,670,810;$193,852,807 32,189,686 FIL;539,740,525 FIL
5;34;Bittensor TAO;$466.67;+0.46%;+3.41%;-25.87%;$3.09B $3,087,642,763;$43,966,092 93,771 TAO;6,616,067 TAO
6;37;Hedera HBAR;$0.08239;+0.18%;+5.26%;-17.26%;$2.94B $2,944,661,456;$47,529,905 575,910,688 HBAR;35,741,578,542 HBAR
7;44;The Graph GRT;$0.2555;+0.17%;+5.86%;-17.38%;$2.42B $2,422,342,831;$87,590,647 342,924,401 GRT;9,482,385,683 GRT
8;66;Flow FLOW;$0.8787;+0.53%;+3.88%;-25.85%;$1.32B $1,319,742,184;$56,213,522 63,879,710 FLOW;1,501,883,814 FLOW
9;97;Decentraland MANA;$0.4354;+0.72%;+2.30%;-28.18%;$830.96M $830,957,606;$58,736,855 134,760,633 MANA;1,908,319,865 MANA
10;134;Ocean Protocol OCEAN;$0.8691;+0.51%;+4.15%;-18.19%;$493.99M $493,989,946;$31,562,762 36,285,176 OCEAN;568,381,103 OCEAN
11;150;Livepeer LPT;$13.40;-0.11%;+14.52%;-12.69%;$426.24M $426,241,366;$59,677,060 4,443,465 LPT;31,817,769 LPT
12;174;Basic Attention Token BAT;$0.2453;+0.48%;+3.19%;-24.38%;$365.57M $365,570,236;$20,619,888 83,894,609 BAT;1,490,413,701 BAT
13;177;Zcash ZEC;$22.07;+0.31%;+4.94%;-16.44%;$360.44M $360,440,776;$52,926,041 2,404,012 ZEC;16,328,269 ZEC
14;196;Reserve Rights RSR;$0.006033;+0.71%;+5.62%;-30.05%;$305.33M $305,331,708;$20,682,416 3,435,523,578 RSR;50,600,000,000 RSR
15;282;API3 API3;$2.31;+0.09%;+2.76%;-27.14%;$199.96M $199,959,355;$11,293,410 4,868,947 API3;86,421,978 API3
16;315;Civic CVC;$0.1652;+1.63%;+5.99%;-12.95%;$165.22M $165,220,498;$33,440,021 202,605,448 CVC;1,000,000,000 CVC
17;;Horizen ZEN;$  8.64;;;;;;
18;;Hashflow HFT;$  0.31;;;;;;
19;;Handshake HNS;$  0.02;;;;;;
20;;Decentral Games DG;$  0.02;;;;;;
21;;SubQuery Network SQT;$  0.03;;;;;;
22;;Decentral Games Governance (xDG) xDG;$  0.03;;;;;;
23;;ECO ECO;$  0.02;;;;;;
24;;Tierion TNT;$  --;;;;;;
