;+#;Nombre;Precio;1h %;24 h %;7d %;Cap. de Mercado;Volumen (24h);Acciones en circulación
40;1199;mStable Governance Token: Meta (MTA) MTA;$0.1051;+0.80%;+180.79%;-44.37%;$6.71M $6,709,465;$226,729 2,082,742 MTA;63,851,860 MTA
41;1345;ROCO FINANCE ROCO;$0.2296;+0.36%;-13.87%;-30.84%;$3.97M $3,971,532;$269,670 1,178,015 ROCO;17,298,805 ROCO
42;1435;Pickle Finance PICKLE;$1.49;-0.09%;-2.47%;-22.29%;$2.84M $2,839,198;$39,612 26,597 PICKLE;1,908,030 PICKLE
43;1504;Prism PRISM;$0.003889;-0.03%;-4.62%;+39.52%;$2.24M $2,244,283;$5,943 1,527,189 PRISM;577,152,438 PRISM
44;1608;InsurAce INSUR;$0.03322;-0.28%;+3.45%;-28.11%;$1.49M $1,491,360;$133,323 3,995,614 INSUR;44,891,926 INSUR
45;1618;Convergence CONV;$0.0008674;+0.61%;+9.22%;-23.51%;$1.44M $1,443,205;$834,725 968,951,232 CONV;1,663,854,925 CONV
46;1702;Rook ROOK;$1.69;+0.12%;-0.45%;-19.57%;$1.04M $1,043,976;$8,937 5,293 ROOK;617,636 ROOK
47;1704;Rainmaker Games RAIN;$0.001571;+0.06%;-4.58%;-22.55%;$1.04M $1,039,983;$4,177,700 2,663,703,120 RAIN;661,842,165 RAIN
48;1719;MAPS MAPS;$0.02114;+0.04%;+0.43%;-18.10%;$961,600.46 $961,600;$150,838 7,138,605 MAPS;45,496,728 MAPS
49;1747;Solrise Finance SLRS;$0.005703;+0.01%;+0.16%;-6.44%;$867,784.48 $867,784;$22,712 3,974,503 SLRS;152,152,271 SLRS
50;1874;Opium OPIUM;$0.1209;-0.42%;-1.06%;-7.45%;$503,131.07 $503,131;$51,605 424,864 OPIUM;4,161,204 OPIUM
51;2127;Hedget HGET;$0.09014;+0.02%;-1.65%;-13.16%;$157,878.51 $157,879;$10,696 118,683 HGET;1,751,448 HGET
52;2138;APY.Finance APY;$0.002154;+0.00%;+0.00%;-17.52%;$143,171.82 $143,172;--;66,469,950 APY
53;3573;Jet Protocol JET;$0.002041;-0.01%;-0.44%;-4.18%;$3.49M $3,486,246;$131,502 64,124,165 JET;1,700,000,000 JET
54;3855;Realy REAL;$0.1015;+0.16%;-1.05%;-20.05%;$507,490.27 $507,490;$80,764 795,724 REAL;5,000,000 REAL
55;4212;BlockchainSpace GUILD;$0.005279;-0.02%;-0.02%;-16.32%;$1.62M $1,621,844;$42,189 7,986,645 GUILD;307,026,054 GUILD
56;4625;HXRO HXRO;$0.07833;+0.29%;+0.55%;-17.74%;$47.69M $47,691,260;$21,520 275,434 HXRO;610,385,617 HXRO
57;5387;SafeStake DVT;$0.08628;+0.00%;+7.51%;-17.12%;$2.58M $2,575,437;$5,857 67,887 DVT;29,850,000 DVT
58;8177;Bao Finance (old) BAO;$0.00001846;+0.00%;-2.79%;-11.74%;$628,738.61 $628,739;$2 102,946 BAO;34,066,471,176 BAO
59;--;Lina Network LINA;--;--;--;--;--;--;--
60;--;Phantasia Sports $FANT;--;--;--;--;--;--;--
