;+#;Nombre;Precio;1h %;24 h %;7d %;Cap. de Mercado;Volumen (24h);Acciones en circulación
0;1;Bitcoin BTC;$63,519.49;+0.29%;+3.67%;-9.15%;$1.25T $1,250,474,093,629;$36,104,031,386 569,814 BTC;19,686,462 BTC
1;2;Ethereum ETH;$3,069.47;+0.30%;+2.91%;-12.22%;$368.56B $368,557,213,261;$15,263,066,126 4,894,443 ETH;120,072,117 ETH
2;27;Stacks STX;$2.45;+0.33%;+8.45%;-17.39%;$3.56B $3,562,895,039;$146,241,248 57,495,027 STX;1,453,311,822 STX
3;63;Algorand ALGO;$0.1748;+0.24%;+3.66%;-22.96%;$1.42B $1,421,300,307;$53,987,927 314,437,279 ALGO;8,130,165,368 ALGO
4;105;Helium HNT;$4.06;-0.02%;-4.36%;-32.36%;$652.86M $652,860,477;$19,523,868 4,486,590 HNT;160,875,442 HNT
5;332;Numeraire NMR;$24.83;+0.55%;+5.81%;-24.37%;$155.86M $155,862,781;$5,214,808 223,339 NMR;6,278,303 NMR
