;+#;Nombre;Precio;1h %;24 h %;7d %;Cap. de Mercado;Volumen (24h);Acciones en circulación
0;36;Arbitrum ARB;$1.14;+0.00%;+3.22%;-19.31%;$3.03B $3,028,271,529;$275,483,199 240,929,260 ARB;2,653,939,384 ARB
1;51;Celestia TIA;$10.13;+1.55%;+1.50%;-6.55%;$1.81B $1,805,709,352;$139,748,251 13,734,598 TIA;178,303,802 TIA
2;52;Lido DAO LDO;$2.00;-0.25%;+5.34%;-21.44%;$1.78B $1,780,111,943;$54,453,522 27,180,570 LDO;891,732,880 LDO
3;55;Arweave AR;$25.13;-0.18%;+2.81%;-18.12%;$1.64B $1,644,744,798;$55,568,584 2,198,755 AR;65,454,185 AR
4;115;Blur BLUR;$0.3931;+0.52%;+4.34%;-22.45%;$608.68M $608,681,406;$44,959,912 113,969,242 BLUR;1,548,586,940 BLUR
5;573;Alchemix ALCX;$25.88;-0.16%;+2.71%;-26.95%;$57.13M $57,126,924;$2,532,752 97,427 ALCX;2,207,676 ALCX
6;1160;Unisocks SOCKS;$25,715.60;+0.00%;+0.00%;-22.71%;$7.77M $7,766,110;--;302 SOCKS
7;2551;Connext Network NEXT;$0.1828;+0.09%;+0.18%;-17.86%;$19.52M $19,520,644;$3,599,738 19,731,520 NEXT;107,000,000 NEXT
8;2629;Chainflip FLIP;$3.29;-0.55%;-5.36%;-31.61%;$56.72M $56,723,191;$1,990,708 605,705 FLIP;17,258,935 FLIP
9;2671;Gearbox Protocol GEAR;$0.02575;+0.56%;+12.27%;-20.06%;$19.2M $19,203,022;$1,498,794 58,266,678 GEAR;746,531,293 GEAR
10;--;zkSync TBD;--;--;--;--;--;--;--
11;--;Blast ---;--;--;--;--;--;--;--
