;+#;Nombre;Precio;1h %;24 h %;7d %;Cap. de Mercado;Volumen (24h);Acciones en circulación
0;+#;Name;Price;1h %;24h %;7d %;Market Cap;Volume(24h);Circulating Supply
1;1784;Carbon CARBON;$0.02185;+2.87%;+3.70%;-9.94%;$768,889.46 $768,889;$4,126 188,823 CARBON;35,188,718 CARBON
2;1791;LOCGame LOCG;$0.005537;+2.68%;+5.70%;-15.89%;$739,853.86 $739,854;$62,304 11,278,357 LOCG;133,622,792 LOCG
3;1793;Forest Knight KNIGHT;$0.03785;+0.01%;-7.38%;-28.25%;$724,844.07 $724,844;$22,133 584,745 KNIGHT;19,167,672 KNIGHT
4;1802;CryptoZoon ZOON;$0.0009831;+0.32%;+3.92%;-9.31%;$700,458.58 $700,459;$65,306 66,429,183 ZOON;712,306,935 ZOON
5;1847;CryptoBlades SKILL;$0.6126;+1.13%;+5.60%;-9.83%;$568,787.05 $568,787;$356,706 582,321 SKILL;924,746 SKILL
6;1856;Binamon BMON;$0.00471;+0.27%;+3.05%;-11.15%;$543,460.45 $543,460;$22,375 4,750,518 BMON;115,453,949 BMON
7;1857;FaraLand FARA;$0.02371;-0.75%;+0.77%;-15.81%;$543,694 $543,694;$26,767 1,128,819 FARA;22,928,676 FARA
8;1861;Playermon PYM;$0.001226;-6.29%;-7.12%;-36.38%;$524,863.95 $524,864;$23,047 18,802,333 PYM;427,072,302 PYM
9;1862;POLKER PKR;$0.002692;+0.37%;+2.81%;-16.14%;$521,250.34 $521,250;$1,403 pkr 521,386;193,639,424 PKR
10;1892;Chain of Legends CLEG;$0.003836;+0.16%;+6.33%;+1.13%;$471,933.51 $471,934;$9,580 2,497,576 CLEG;123,033,781 CLEG
11;1906;Mist MIST;$0.007944;-0.20%;+5.17%;-20.50%;$447,469.39 $447,469;$95,580 12,031,689 MIST;56,357,088 MIST
12;1924;Wall Street Games (old) WSG;$0.0...04585;+0.07%;+0.87%;-11.68%;$404,847.85 $404,848;$1,888 4,118,053,904,334 WSG;882,991,672,719,428 WSG
13;1955;Binemon BIN;$0.0008524;-0.09%;-0.63%;-14.60%;$354,138.21 $354,138;$102,021 119,691,577 BIN;416,778,746 BIN
14;1985;My Master War MAT;$0.004344;+0.31%;-2.13%;-15.37%;$291,682.9 $291,683;$6,650 1,530,838 MAT;67,108,529 MAT
15;2009;Crabada CRA;$0.0007305;+0.00%;-1.01%;-34.09%;$260,047.84 $260,048;$11 14,503 CRA;355,983,565 CRA
16;2048;MetaSoccer MSU;$0.001873;-0.08%;+0.44%;-13.56%;$217,798.32 $217,798;$14,976 7,995,383 MSU;116,279,055 MSU
17;2051;RaceFi RACEFI;$0.004676;+0.00%;-1.92%;-2.15%;$215,957 $215,957;$251 53,732 RACEFI;46,185,335 RACEFI
18;2058;ASPO World ASPO;$0.00263;+0.00%;+1.13%;-18.25%;$210,254.06 $210,254;$672 255,510 ASPO;79,936,866 ASPO
19;2067;Defina Finance FINA;$0.00301;+0.11%;-7.59%;-10.36%;$204,661.98 $204,662;$30,977 10,290,928 FINA;67,819,855 FINA
20;2107;DinoX DNXC;$0.004966;+3.07%;-0.07%;-1.47%;$164,660.48 $164,660;$125,872 25,346,092 DNXC;34,011,080 DNXC
21;2139;Cryptopolis CPO;$0.001605;-0.48%;-4.74%;-18.79%;$142,713.55 $142,714;$28,164 17,546,686 CPO;88,913,639 CPO
22;2159;Zuki Moba ZUKI;$0.003365;-0.00%;-0.83%;-0.21%;$123,878.81 $123,879;$17,384 5,166,897 ZUKI;36,819,022 ZUKI
