NAME;ECOSYSTEM;SYMBOL
Cardano;CARDANO;ADA
Chainlink;CARDANO;LINK
SingularityNET;CARDANO;AGIX
Nexo;CARDANO;NEXO
API3;CARDANO;API3
COTI;CARDANO;COTI
World Mobile Token;CARDANO;WMT
Ergo;CARDANO;ERG
Snek;CARDANO;SNEK
LimeWire;CARDANO;LMWR
Cornucopias;CARDANO;COPI
IAGON;CARDANO;IAG
Minswap;CARDANO;MIN
NuNet;CARDANO;NTX
Indigo Protocol;CARDANO;INDY
Hosky Token;CARDANO;HOSKY
Forj (Bondly);CARDANO;BONDLY
Djed;CARDANO;DJED
KubeCoin;CARDANO;KUBE
MELD;CARDANO;MELD
Revuto;CARDANO;REVU
Occam.Fi;CARDANO;OCC
Liqwid Finance;CARDANO;LQ
Lenfi;CARDANO;LENFI
FREN;CARDANO;FREN
Axo;CARDANO;AXO
NMKR;CARDANO;NMKR
Shen;CARDANO;SHEN
AnetaBTC;CARDANO;cNETA
MuesliSwap MILK;CARDANO;MILK
ADAX;CARDANO;ADAX
Ibilecoin;CARDANO;BLC
