;+#;Nombre;Precio;1h %;24 h %;7d %;Cap. de Mercado;Volumen (24h);Acciones en circulación
40;1766;Artisse CATHEON;$0.0008355;+1.18%;+0.03%;-21.10%;$809,084.33 $809,084;$23,329 27,983,124 CATHEON;968,534,281 CATHEON
41;1832;OceanEx Token OCE;$0.0003409;+0.54%;+2.95%;-14.23%;$609,109.35 $609,109;$92 270,838 OCE;1,788,038,022 OCE
42;1837;Ojamu OJA;$0.005942;-1.88%;+5.49%;+9.74%;$594,201.38 $594,201;$780 131,220 OJA;99,996,080 OJA
43;1860;MetamonkeyAi MMAI;$0.00008676;-0.30%;-3.76%;-11.45%;$529,202.09 $529,202;$39,716 457,261,331 MMAI;6,099,376,989 MMAI
44;1888;TrustVerse TRV;$0.0004819;+0.50%;+2.94%;-20.73%;$481,241.61 $481,242;--;1,000,000,000 TRV
45;2003;Raze Network RAZE;$0.002225;+0.01%;+4.23%;-29.08%;$264,004.83 $264,005;$59,648 26,811,676 RAZE;118,690,910 RAZE
46;2038;Ubex UBEX;$0.00007028;+0.36%;+2.66%;-23.57%;$232,200.28 $232,200;$394 5,611,492 UBEX;3,306,258,739 UBEX
47;2089;Triall TRL;$0.004337;+0.00%;+0.00%;-5.23%;$183,752.64 $183,753;$10 2,420 TRL;42,365,415 TRL
48;2093;Neurashi NEI;$0.004764;+0.01%;-17.05%;-57.42%;$174,820.88 $174,821;$110,641 23,225,372 NEI;38,049,122 NEI
49;2136;YFDAI.FINANCE YF-DAI;$36.53;-2.51%;-0.82%;+6.92%;$145,515.99 $145,516;$45,500 1,246 YF-DAI;3,986 YF-DAI
50;2150;Pawtocol UPI;$0.0005072;+4.24%;+6.18%;-18.50%;$130,679.72 $130,680;$28,844 56,866,744 UPI;257,924,377 UPI
51;2371;Connectome CNTM;$0.008601;+0.01%;+4.92%;+39.74%;$9,691.43 $9,691;$121,900 14,172,650 CNTM;1,210,675 CNTM
52;2496;Apeiron APRS;$0.5841;+0.38%;+1.46%;-13.83%;$59.86M $59,857,216;$7,578,487 13,040,769 APRS;103,000,000 APRS
53;2498;Altered State Token ASTO;$0.03698;+1.14%;-2.18%;-9.25%;$19.32M $19,316,342;$7,084,623 191,849,990 ASTO;523,082,169 ASTO
54;2499;LayerAI LAI;$0.03572;+0.23%;+5.25%;-23.22%;$6.46M $6,462,520;$6,853,496 190,889,836 LAI;180,000,000 LAI
55;2535;NetMind Token NMT;$7.99;+2.19%;+4.98%;-22.66%;$276.87M $276,870,387;$4,722,000 591,113 NMT;34,659,381 NMT
56;2536;HyperGPT HGPT;$0.06868;-0.95%;+0.61%;-24.06%;$21.05M $21,054,711;$4,697,493 68,396,185 HGPT;306,559,702 HGPT
57;2538;QnA3.AI GPT;$0.3964;+1.89%;-2.32%;-22.53%;--;$4,532,285 11,432,717 GPT;0 GPT
58;2567;Nosana NOS;$3.70;+0.88%;+2.90%;+0.04%;$316.82M $316,815,615;$3,111,955 841,563 NOS;85,676,131 NOS
59;2572;Autonolas OLAS;$3.51;+0.11%;+0.65%;-15.83%;$152,836,233,019,004.1T $1.5283623301900409e+26;$3,001,614 856,105 OLAS;NaN OLAS
60;2621;Qubic QUBIC;$0.000005138;+0.75%;-3.82%;-12.53%;$454.79M $454,789,753;$2,091,447 407,045,435,835 QUBIC;88,512,924,942,517 QUBIC
61;2642;Virtual Protocol VIRTUAL;$0.1574;+0.30%;+6.71%;-26.80%;$157.38M $157,384,626;$1,765,732 11,219,218 VIRTUAL;1,000,000,000 VIRTUAL
62;2648;XANA XETA;$0.0085;-6.23%;+6.44%;+6.81%;$1.07M $1,065,066;$1,719,774 201,838,814 XETA;125,000,000 XETA
63;2663;Octavia AI VIA;$0.8166;-0.75%;-5.28%;-23.18%;$7.15M $7,145,441;$1,593,555 1,951,399 VIA;8,750,000 VIA
64;2772;Work X WORK;$0.3413;+1.33%;-1.50%;-20.89%;$3.87M $3,865,654;$960,756 2,815,916 WORK;11,329,998 WORK
65;2802;Humans.ai HEART;$0.02976;+1.48%;+10.61%;+6.17%;$165.86M $165,864,457;$876,886 29,484,265 HEART;5,577,000,000 HEART
66;2811;Next Gem AI GEMAI;$0.0185;-1.19%;+43.96%;-26.65%;$3.57M $3,565,740;$832,102 44,720,018 GEMAI;191,635,000 GEMAI
67;2866;Arbius AIUS;$165.98;+0.01%;+9.38%;-4.96%;$13.56M $13,557,878;$670,703 4,041 AIUS;81,684 AIUS
68;2898;DarkShield Games Studio DKS;$0.000254;+0.90%;+12.65%;-6.09%;$272,840.23 $272,840;$590,973 2,324,566,152 DKS;1,073,204,810 DKS
69;2928;Edge Matrix Computing EMC;$1.20;+1.07%;-7.05%;-34.47%;$44.7M $44,696,114;$529,326 439,796 EMC;37,136,214 EMC
70;2933;Cogito Finance CGV;$0.1116;+0.99%;-7.55%;-31.25%;$2.7M $2,703,194;$521,829 4,681,580 CGV;24,251,649 CGV
71;2954;Oracle AI ORACLE;$0.004413;+0.48%;+3.55%;-27.33%;$4.27M $4,273,336;$490,980 111,264,440 ORACLE;968,411,318 ORACLE
72;2958;DeepFakeAI FAKEAI;$0.00828;+1.96%;+3.74%;-26.26%;$7.91M $7,906,924;$487,366 58,858,512 FAKEAI;954,907,650 FAKEAI
73;2959;CorgiAI CORGIAI;$0.00172;+0.83%;-0.63%;-21.43%;$521.7M $521,700,126;$486,870 283,050,032 CORGIAI;303,299,159,205 CORGIAI
74;3030;Balance AI BAI;$10.34;-0.58%;+10.56%;-17.76%;--;$397,038 38,413 BAI;0 BAI
75;3085;Resistor AI TOR;$0.006699;-0.98%;-22.27%;-48.17%;$5.78M $5,782,320;$349,914 52,042,439 TOR;860,000,000 TOR
76;3117;Commune AI COMAI;$0.8142;-0.30%;-8.10%;-35.07%;$52.92M $52,924,258;$325,413 399,663 COMAI;65,000,000 COMAI
77;3194;Ta-da TADA;$0.1651;+0.43%;+0.78%;-29.21%;$8.08M $8,078,023;$275,963 1,671,554 TADA;48,930,000 TADA
78;3267;enqAI enqAI;$0.03928;+0.43%;+2.99%;-18.45%;$39.28M $39,275,338;$231,192 5,886,437 ENQAI;1,000,000,000 enqAI
79;3276;Grow Token GROW;$0.4543;-3.39%;+5.21%;-21.65%;$4.54M $4,542,793;$227,430 500,638 GROW;10,000,000 GROW
80;3296;Grok GROK;$0.000003097;+0.03%;+0.14%;-14.30%;$309,663.52 $309,664;$215,497 69,590,593,189 GROK;100,000,000,000 GROK
