top;Nombre;Precio USD;1h%;24h%;7d%;CAP. USD;ACC. CIRCULACION;Symbol;Volumen (24h) USD;Volumen (24h) Tokens;CATEGORY
39;Immutable;1.98;0.3;4.2;-22.55;2839201943.0;1431285079.0;IMX;63714307.0;32009998.0;GAMING
61;Beam;0.02641;0.4;1.52;-15.32;1398307513.0;52951176339.0;BEAM;33173759.0;1253755155.0;GAMING
63;Gala;0.04353;0.5;6.3;-25.74;1326581964.0;30493177498.0;GALA;185636634.0;4255760776.0;GAMING
64;FLOKI;0.0001382;0.28;1.83;-28.15;1321986170.0;9568393313435.0;FLOKI;140095291.0;1014302483719.0;GAMING
74;MultiversX;40.69;0.48;0.89;-21.31;1091647933.0;26833769.0;EGLD;25784729.0;634119.0;GAMING
78;Axie Infinity;7.04;0.57;0.38;-26.12;1008171160.0;143344859.0;AXS;41231471.0;5862941.0;GAMING
80;The Sandbox;0.4386;0.76;0.46;-28.11;987423537.0;2251731926.0;SAND;100430938.0;229197420.0;GAMING
97;Decentraland;0.4341;0.45;0.28;-28.93;828346037.0;1908319865.0;MANA;59747785.0;137744570.0;GAMING
100;ApeCoin;1.25;1.04;3.71;-22.84;756462975.0;604895833.0;APE;60971446.0;48724069.0;GAMING
107;Echelon Prime;18.93;0.02;8.83;-12.71;677201324.0;35773841.0;PRIME;13726385.0;726140.0;GAMING
128;WEMIX;1.48;0.29;2.71;-27.42;525212178.0;356423353.0;WEMIX;4532189.0;3066666.0;GAMING
133;SKALE;0.09422;0.81;1.18;-17.58;502508753.0;5339102671.0;SKL;43337481.0;459961851.0;GAMING
135;SuperVerse;0.9725;0.05;3.28;-9.53;474359814.0;487776093.0;SUPER;12698067.0;13056750.0;GAMING
138;GMT;0.2373;1.28;0.32;-16.79;460134777.0;1938798778.0;GMT;67551234.0;284674513.0;GAMING
141;Enjin Coin;0.3268;1.5;2.25;-26.5;449692723.0;1379841766.0;ENJ;18944680.0;57963874.0;GAMING
181;Illuvium;92.05;1.42;5.28;-26.11;347400936.0;3767377.0;ILV;14065571.0;152801.0;GAMING
191;Pixels;0.4077;1.79;2.85;-38.59;314160513.0;771041667.0;PIXEL;51870822.0;127064163.0;GAMING
194;Saga;3.43;2.68;-2.59;-34.07;308280907.0;90000000.0;SAGA;136816141.0;39700027.0;GAMING
196;Yield Guild Games;0.8296;2.15;-0.37;-33.87;299903041.0;361785359.0;YGG;58943478.0;71181765.0;GAMING
240;Chromia;0.3039;0.78;-0.09;-22.13;246935019.0;812434439.0;CHR;8990226.0;29612029.0;GAMING
245;Kadena;0.8823;-0.28;0.66;-27.12;238830909.0;270878235.0;KDA;8139476.0;9188623.0;GAMING
252;Wilder World;0.8379;-3.88;4.84;-25.03;221171891.0;263967913.0;WILD;1742521.0;2031883.0;GAMING
253;WAX;0.06535;0.59;0.26;-23.95;224473583.0;3434558112.0;WAXP;9569358.0;146655128.0;GAMING
268;Treasure;0.7864;0.88;2.82;-27.9;207816157.0;264193342.0;MAGIC;35253581.0;44896875.0;GAMING
290;Xai;0.6809;1.02;-1.69;-32.73;188683316.0;277118150.0;XAI;20454716.0;30169394.0;GAMING
293;GuildFi;0.3136;-0.7;-3.04;-25.08;184518316.0;587870634.0;GF;3456403.0;10982442.0;GAMING
297;Seedify.fund;2.95;-1.45;2.3;-23.06;177392435.0;60127373.0;SFUND;6425093.0;2149067.0;GAMING
298;Guild of Guardians;0.3162;0.07;6.38;74.89;180314003.0;569604001.0;GOG;5376454.0;17135854.0;GAMING
311;Portal;0.9777;0.41;0.86;-32.02;166064812.0;169860695.0;PORTAL;20587340.0;21074479.0;GAMING
316;BORA;0.1622;0.35;-0.66;-21.32;161549751.0;993750000.0;BORA;4645890.0;28600575.0;GAMING
333;Big Time;0.1827;0.71;-0.35;-39.69;149188592.0;816878362.0;BIGTIME;15360408.0;84027827.0;GAMING
346;Vulcan Forged (PYR);4.86;-0.08;0.75;-21.58;136622024.0;28100000.0;PYR;7243525.0;1485738.0;GAMING
349;Oasys;0.06523;0.33;2.01;-18.02;135721204.0;2080304978.0;OAS;1257419.0;19337721.0;GAMING
351;Gomining;0.336;-0.03;-0.74;0.13;134935812.0;401643157.0;GMT;5266371.0;15706610.0;GAMING
363;Hooked Protocol;0.9289;0.91;0.49;-26.71;129374539.0;139254295.0;HOOK;9703304.0;10455321.0;GAMING
365;Nakamoto Games;1.41;1.05;-0.42;-20.65;127816206.0;90463652.0;NAKA;11782661.0;8349273.0;GAMING
377;Fusionist;5.44;0.21;-5.83;-35.51;119580095.0;21969520.0;ACE;22138469.0;4058654.0;GAMING
379;Myria;0.006856;1.42;2.11;-15.54;119478446.0;17429230818.0;MYRIA;2743366.0;401291959.0;GAMING
383;Hashflow;0.3059;0.87;0.27;-24.05;118176036.0;386489713.0;HFT;15713208.0;51388873.0;GAMING
401;Victoria VR;0.02113;1.06;4.64;-26.35;112742621.0;5336247368.0;VR;1513608.0;72013119.0;GAMING
414;Aavegotchi;1.99;-0.39;-2.69;-17.21;105174202.0;52747801.0;GHST;32079283.0;16075795.0;GAMING
421;CUDOS;0.01756;-0.84;3.23;-18.63;102571898.0;5843157717.0;CUDOS;930608.0;52942749.0;GAMING
425;GamerCoin;0.1525;-0.11;2.87;-13.73;99130975.0;649965123.0;GHX;2063920.0;13267926.0;GAMING
438;MOBOX;0.3052;0.71;1.72;-26.43;95244595.0;312054490.0;MBOX;14184874.0;46494922.0;GAMING
447;Ethernity;4.45;0.86;-0.23;-29.46;91428432.0;20577762.0;ERN;3330640.0;750336.0;GAMING
452;MARBLEX;0.7669;0.62;-1.82;-28.82;90486088.0;117988535.0;MBX;2451810.0;3206493.0;GAMING
455;Heroes of Mavia;2.94;0.28;0.03;-39.97;88194062.0;30000396.0;MAVIA;33360891.0;11319729.0;GAMING
457;RACA;0.0002487;0.52;2.68;-22.37;88033648.0;354045821849.0;RACA;8040738.0;32407588676.0;GAMING
