top;Nombre;Precio USD;1h%;24h%;7d%;CAP. USD;ACC. CIRCULACION;Symbol;Volumen (24h) USD;Volumen (24h) Tokens;CATEGORY
2535;NetMind Token;7.99;2.19;4.98;-22.66;276870387.0;34659381.0;NMT;4722000.0;591113.0;AI
2536;HyperGPT;0.06868;-0.95;0.61;-24.06;21054711.0;306559702.0;HGPT;4697493.0;68396185.0;AI
2567;Nosana;3.7;0.88;2.9;0.04;316815615.0;85676131.0;NOS;3111955.0;841563.0;AI
2621;Qubic;5.138e-06;0.75;-3.82;-12.53;454789753.0;88512924942517.0;QUBIC;2091447.0;407045435835.0;AI
2642;Virtual Protocol;0.1574;0.3;6.71;-26.8;157384626.0;1000000000.0;VIRTUAL;1765732.0;11219218.0;AI
2648;XANA;0.0085;-6.23;6.44;6.81;1065066.0;125000000.0;XETA;1719774.0;201838814.0;AI
2663;Octavia AI;0.8166;-0.75;-5.28;-23.18;7145441.0;8750000.0;VIA;1593555.0;1951399.0;AI
2772;Work X;0.3413;1.33;-1.5;-20.89;3865654.0;11329998.0;WORK;960756.0;2815916.0;AI
2802;Humans.ai;0.02976;1.48;10.61;6.17;165864457.0;5577000000.0;HEART;876886.0;29484265.0;AI
2811;Next Gem AI;0.0185;-1.19;43.96;-26.65;3565740.0;191635000.0;GEMAI;832102.0;44720018.0;AI
2866;Arbius;165.98;0.01;9.38;-4.96;13557878.0;81684.0;AIUS;670703.0;4041.0;AI
2898;DarkShield Games Studio;0.000254;0.9;12.65;-6.09;272840.0;1073204810.0;DKS;590973.0;2324566152.0;AI
2928;Edge Matrix Computing;1.2;1.07;-7.05;-34.47;44696114.0;37136214.0;EMC;529326.0;439796.0;AI
2933;Cogito Finance;0.1116;0.99;-7.55;-31.25;2703194.0;24251649.0;CGV;521829.0;4681580.0;AI
2954;Oracle AI;0.004413;0.48;3.55;-27.33;4273336.0;968411318.0;ORACLE;490980.0;111264440.0;AI
2958;DeepFakeAI;0.00828;1.96;3.74;-26.26;7906924.0;954907650.0;FAKEAI;487366.0;58858512.0;AI
2959;CorgiAI;0.00172;0.83;-0.63;-21.43;521700126.0;303299159205.0;CORGIAI;486870.0;283050032.0;AI
3085;Resistor AI;0.006699;-0.98;-22.27;-48.17;5782320.0;860000000.0;TOR;349914.0;52042439.0;AI
3117;Commune AI;0.8142;-0.3;-8.1;-35.07;52924258.0;65000000.0;COMAI;325413.0;399663.0;AI
3194;Ta-da;0.1651;0.43;0.78;-29.21;8078023.0;48930000.0;TADA;275963.0;1671554.0;AI
3267;enqAI;0.03928;0.43;2.99;-18.45;39275338.0;1000000000.0;enqAI;231192.0;5886437.0;AI
3276;Grow Token;0.4543;-3.39;5.21;-21.65;4542793.0;10000000.0;GROW;227430.0;500638.0;AI
3296;Grok;3.097e-06;0.03;0.14;-14.3;309664.0;100000000000.0;GROK;215497.0;69590593189.0;AI
3300;Human;0.03277;-0.19;-3.89;-27.94;7555438.0;230553677.0;HMT;213284.0;6508357.0;AI
3365;EpiK Protocol;0.01109;0.07;2.9;-13.4;4437534.0;400000000.0;AIEPK;186064.0;16771858.0;AI
3389;Ring AI;0.2943;-1.2;-0.65;-2.86;29432666.0;100000000.0;RING;180382.0;612863.0;AI
3406;Metafluence;0.001037;-0.38;-0.69;8.17;1872947.0;1805308982.0;METO;176067.0;169708330.0;AI
3519;AI Network;0.02634;0.03;0.13;-21.41;6712821.0;254826635.0;AIN;140592.0;5337036.0;AI
3546;bitsCrunch;0.1745;-1.14;0.01;-23.11;18817452.0;107881105.0;BCUT;135224.0;775244.0;AI
3590;BilliCat;0.005786;0.34;9.46;-0.75;578534.0;100000000.0;BCAT;127758.0;22083029.0;AI
3641;Trace Network Labs;0.004452;-1.53;-6.37;-23.47;383073.0;86035489.0;TRACE;117516.0;26393180.0;AI
3752;Multiverse;0.000791;-0.64;7.22;-18.02;802774.0;1014942802.0;AI;95693.0;120984289.0;AI
3773;Lavita AI;0.01678;-2.88;5.53;-5.16;29692807.0;1769822115.0;LAVITA;92711.0;5526009.0;AI
3883;AimBot AI;3.91;1.11;-0.43;-26.94;3886147.0;1000000.0;AIMBOT;76325.0;19640.0;AI
3973;Aventis Metaverse;0.0008008;0.2;-4.01;-34.41;155422.0;194088542.0;AVTM;64602.0;80673428.0;AI
4105;The Winkyverse;0.0004885;0.04;0.8;-19.31;2527549.0;5176895472.0;WNK;51728.0;105949456.0;AI
4109;AI PIN;0.08003;0.21;-3.48;-27.73;1849369.0;23102024.0;AI;51386.0;641903.0;AI
4147;AlphaScan AI;0.07491;-0.1;3.65;-16.74;1087301.0;14520000.0;ASCN;47105.0;629045.0;AI
4199;Zus;0.1408;-0.18;1.85;-12.31;16187011.0;115000000.0;ZCN;42122.0;299253.0;AI
4229;Roko;5.176e-05;-0.9;-3.66;-20.1;10131059.0;195732940071.0;ROKO;39677.0;766559636.0;AI
20;NEAR Protocol;5.57;-0.35;-0.61;-9.23;5928249480.0;1063890016.0;NEAR;533925638.0;95761775.0;AI
34;Render;8.1;-0.19;4.21;0.17;3114860466.0;384361224.0;RNDR;260279038.0;32114923.0;AI
35;Bittensor;460.26;-0.54;0.45;-20.97;3046173101.0;6620065.0;TAO;42041512.0;91156.0;AI
43;Injective;27.85;-0.29;1.78;-2.92;2600216389.0;93400000.0;INJ;176404581.0;6336715.0;AI
44;The Graph;0.2624;0.18;5.76;-5.07;2487204264.0;9482394293.0;GRT;119837161.0;455904790.0;AI
48;Theta Network;2.08;0.05;2.22;-21.18;2079753548.0;1000000000.0;THETA;51806393.0;24900747.0;AI
51;Fetch.ai;2.16;0.2;7.05;-3.46;1829391558.0;848552254.0;FET;289524767.0;134279391.0;AI
73;SingularityNET;0.8755;-0.0;5.42;-2.66;1122538514.0;1282094972.0;AGIX;134400261.0;153313029.0;AI
88;Akash Network;4.02;0.58;2.59;8.43;941390891.0;234032891.0;AKT;10206893.0;2539920.0;AI
105;Echelon Prime;19.36;0.62;2.27;-7.24;692532701.0;35773841.0;PRIME;10000720.0;517071.0;AI
107;AIOZ Network;0.6279;-0.77;-1.6;-4.6;682118277.0;1087699200.0;AIOZ;10085173.0;16076538.0;AI
109;Oasis Network;0.1007;-0.16;10.05;-7.87;675428384.0;6713599876.0;ROSE;38559623.0;382028287.0;AI
123;Theta Fuel;0.08675;0.13;3.42;-14.89;564938678.0;6519264284.0;TFUEL;24600472.0;283152422.0;AI
135;Ocean Protocol;0.8805;-0.07;4.45;-5.55;500184894.0;568381103.0;OCEAN;44687338.0;50754255.0;AI
172;Golem;0.3771;0.4;4.61;-16.18;376505777.0;1000000000.0;GLM;12662286.0;33604197.0;AI
175;OriginTrail;0.9213;1.11;-1.33;-8.23;374007530.0;405356579.0;TRAC;3540572.0;3840748.0;AI
180;Arkham;1.76;0.87;7.71;2.85;357960931.0;204600000.0;ARKM;109806653.0;62640255.0;AI
192;Flux;0.9292;0.57;3.48;-6.78;320421354.0;345455887.0;FLUX;10480762.0;11291449.0;AI
226;PAAL AI;0.3897;0.73;4.9;-16.27;315764445.0;809841362.0;PAAL;6821246.0;17504040.0;AI
243;0x0.ai;0.281;-0.14;-3.89;-9.85;244040544.0;868563455.0;0x0;1728533.0;6141982.0;AI
247;Kadena;0.8846;0.49;1.93;-16.49;238963680.0;270928482.0;KDA;8554885.0;9689522.0;AI
265;Arcblock;2.18;0.5;-0.1;-13.98;215597240.0;98554305.0;ABT;2122085.0;974483.0;AI
282;iExec RLC;2.81;1.99;15.09;-4.04;204037372.0;72382548.0;RLC;17600392.0;6270194.0;AI
285;RSS3;0.3667;-0.11;-0.16;6.15;199758903.0;545359116.0;RSS3;8419780.0;22967472.0;AI
287;Delysium;0.2639;-3.91;8.35;-0.16;194258762.0;738053003.0;AGI;36510725.0;138339288.0;AI
290;Marlin;0.02355;0.15;8.18;-6.12;190313351.0;8087375977.0;POND;6428893.0;272982587.0;AI
314;IQ;0.009214;0.02;7.41;-12.95;166112463.0;18032726356.0;IQ;15080651.0;1638207344.0;AI
324;Numeraire;25.56;-0.32;7.09;-11.34;160387047.0;6278303.0;NMR;7759621.0;303343.0;AI
341;Covalent;0.2107;-0.32;-5.12;-13.08;144672198.0;686658970.0;CQT;1573183.0;7465508.0;AI
343;Oraichain;11.29;0.0;0.99;-12.15;143375320.0;12706080.0;ORAI;6059192.0;536873.0;AI
344;Phala Network;0.1971;0.43;1.6;-7.37;140408041.0;713354827.0;PHA;10730613.0;54484114.0;AI
349;inSure DeFi;0.005187;0.0;0.93;-10.94;138957448.0;26790063175.0;SURE;454671.0;87657607.0;AI
351;Node AI;1.54;2.53;8.57;-2.72;139296794.0;90264133.0;GPU;2122917.0;1397029.0;AI
