NAME;PORTFOLIO;SYMBOL
Polkadot;Coinfund;DOT
NEAR Protocol;Coinfund;NEAR
The Graph;Coinfund;GRT
Flow;Coinfund;FLOW
Livepeer;Coinfund;LPT
Kadena;Coinfund;KDA
Balancer;Coinfund;BAL
Neutron;Coinfund;NTRN
API3;Coinfund;API3
Numeraire;Coinfund;NMR
RARI;Coinfund;RARI
Serum;Coinfund;SRM
NFTX;Coinfund;NFTX
HXRO;Coinfund;HXRO
NuCypher;Coinfund;NU
