NAME;PORTFOLIO;SYMBOL
Arbitrum;eGirl Capital;ARB
Celestia;eGirl Capital;TIA
Lido DAO;eGirl Capital;LDO
Arweave;eGirl Capital;AR
Blur;eGirl Capital;BLUR
Alchemix;eGirl Capital;ALCX
Connext Network;eGirl Capital;NEXT
Chainflip;eGirl Capital;FLIP
Gearbox Protocol;eGirl Capital;GEAR
