NAME;PORTFOLIO;SYMBOL
Bitcoin;Blockchain Capital;BTC
Ethereum;Blockchain Capital;ETH
Polkadot;Blockchain Capital;DOT
Uniswap;Blockchain Capital;UNI
Stacks;Blockchain Capital;STX
Filecoin;Blockchain Capital;FIL
Arweave;Blockchain Capital;AR
Aave;Blockchain Capital;AAVE
Worldcoin;Blockchain Capital;WLD
Nervos Network;Blockchain Capital;CKB
Oasis Network;Blockchain Capital;ROSE
1inch Network;Blockchain Capital;1INCH
0x Protocol;Blockchain Capital;ZRX
yearn.finance;Blockchain Capital;YFI
SushiSwap;Blockchain Capital;SUSHI
UMA;Blockchain Capital;UMA
Orchid;Blockchain Capital;OXT
Forta;Blockchain Capital;FORT
Badger DAO;Blockchain Capital;BADGER
Chainflip;Blockchain Capital;FLIP
