NAME;PORTFOLIO;SYMBOL
Bitcoin;Polychain Capital;BTC
Ethereum;Polychain Capital;ETH
Avalanche;Polychain Capital;AVAX
Polkadot;Polychain Capital;DOT
Internet Computer;Polychain Capital;ICP
Cosmos;Polychain Capital;ATOM
Filecoin;Polychain Capital;FIL
Arbitrum;Polychain Capital;ARB
Bittensor;Polychain Capital;TAO
Maker;Polychain Capital;MKR
Kaspa;Polychain Capital;KAS
Tezos;Polychain Capital;XTZ
Nervos Network;Polychain Capital;CKB
Mina;Polychain Capital;MINA
Axelar;Polychain Capital;AXL
Oasis Network;Polychain Capital;ROSE
Manta Network;Polychain Capital;MANTA
Compound;Polychain Capital;COMP
Celo;Polychain Capital;CELO
0x Protocol;Polychain Capital;ZRX
Zilliqa;Polychain Capital;ZIL
Altlayer;Polychain Capital;ALT
yearn.finance;Polychain Capital;YFI
Keep Network;Polychain Capital;KEEP
NYM;Polychain Capital;NYM
Orchid;Polychain Capital;OXT
Kin;Polychain Capital;KIN
Polyhedra Network;Polychain Capital;ZK
Connext Network;Polychain Capital;NEXT
NuCypher;Polychain Capital;NU
