NAME;PORTFOLIO;SYMBOL
Uniswap;DeFiance Capital;UNI
Aave;DeFiance Capital;AAVE
Axie Infinity;DeFiance Capital;AXS
Synthetix;DeFiance Capital;SNX
SushiSwap;DeFiance Capital;SUSHI
Stella;DeFiance Capital;ALPHA
DODO;DeFiance Capital;DODO
Beta Finance;DeFiance Capital;BETA
Carbon Protocol;DeFiance Capital;SWTH
mStable Governance Token: Meta (MTA);DeFiance Capital;MTA
InsurAce;DeFiance Capital;INSUR
Furucombo;DeFiance Capital;COMBO
Index Cooperative;DeFiance Capital;INDEX
Jet Protocol;DeFiance Capital;JET
