NAME;PORTFOLIO;SYMBOL
Bitcoin;Fabric Ventures;BTC
Ethereum;Fabric Ventures;ETH
Polkadot;Fabric Ventures;DOT
NEAR Protocol;Fabric Ventures;NEAR
Stacks;Fabric Ventures;STX
The Graph;Fabric Ventures;GRT
Decentraland;Fabric Ventures;MANA
Ocean Protocol;Fabric Ventures;OCEAN
1inch Network;Fabric Ventures;1INCH
0x Protocol;Fabric Ventures;ZRX
RSS3;Fabric Ventures;RSS3
Keep Network;Fabric Ventures;KEEP
Status;Fabric Ventures;SNT
Hashflow;Fabric Ventures;HFT
Orchid;Fabric Ventures;OXT
Radworks;Fabric Ventures;RAD
Streamr;Fabric Ventures;DATA
