NAME;PORTFOLIO;SYMBOL
Bitcoin;Alameda Research;BTC
Ethereum;Alameda Research;ETH
BNB;Alameda Research;BNB
Solana;Alameda Research;SOL
UNUS SED LEO;Alameda Research;LEO
Uniswap;Alameda Research;UNI
OKB;Alameda Research;OKB
Render;Alameda Research;RNDR
Immutable;Alameda Research;IMX
Aave;Alameda Research;AAVE
Synthetix;Alameda Research;SNX
Curve DAO Token;Alameda Research;CRV
1inch Network;Alameda Research;1INCH
Compound;Alameda Research;COMP
FTX Token;Alameda Research;FTT
yearn.finance;Alameda Research;YFI
SushiSwap;Alameda Research;SUSHI
Balancer;Alameda Research;BAL
Solar;Alameda Research;SXP
GuildFi;Alameda Research;GF
Huobi Token;Alameda Research;HT
Stella;Alameda Research;ALPHA
DODO;Alameda Research;DODO
Cream Finance;Alameda Research;CREAM
Viction;Alameda Research;VIC
LeverFi;Alameda Research;LEVER
Perpetual Protocol;Alameda Research;PERP
Frontier;Alameda Research;FRONT
Ren;Alameda Research;REN
Linear Finance;Alameda Research;LINA
RAMP;Alameda Research;RAMP
Router Protocol;Alameda Research;ROUTE
Ampleforth;Alameda Research;AMPL
Only1;Alameda Research;LIKE
Akropolis;Alameda Research;AKRO
Sperax;Alameda Research;SPA
UX Chain;Alameda Research;UX
Serum;Alameda Research;SRM
Gari Network;Alameda Research;GARI
dHedge DAO;Alameda Research;DHT
mStable Governance Token: Meta (MTA);Alameda Research;MTA
ROCO FINANCE;Alameda Research;ROCO
Pickle Finance;Alameda Research;PICKLE
Prism;Alameda Research;PRISM
InsurAce;Alameda Research;INSUR
Convergence;Alameda Research;CONV
Rook;Alameda Research;ROOK
Rainmaker Games;Alameda Research;RAIN
MAPS;Alameda Research;MAPS
Solrise Finance;Alameda Research;SLRS
Opium;Alameda Research;OPIUM
Hedget;Alameda Research;HGET
Jet Protocol;Alameda Research;JET
Realy;Alameda Research;REAL
BlockchainSpace;Alameda Research;GUILD
HXRO;Alameda Research;HXRO
SafeStake;Alameda Research;DVT
Bao Finance (old);Alameda Research;BAO
