NAME;PORTFOLIO;SYMBOL
Bitcoin;DCG;BTC
Ethereum;DCG;ETH
Ethereum Classic;DCG;ETC
Stacks;DCG;STX
Filecoin;DCG;FIL
Bittensor;DCG;TAO
Hedera;DCG;HBAR
The Graph;DCG;GRT
Flow;DCG;FLOW
Decentraland;DCG;MANA
Ocean Protocol;DCG;OCEAN
Livepeer;DCG;LPT
Basic Attention Token;DCG;BAT
Zcash;DCG;ZEC
Reserve Rights;DCG;RSR
API3;DCG;API3
Civic;DCG;CVC
