NAME;PORTFOLIO;SYMBOL
Bitcoin;Three Arrows Capital;BTC
Ethereum;Three Arrows Capital;ETH
Avalanche;Three Arrows Capital;AVAX
Polkadot;Three Arrows Capital;DOT
NEAR Protocol;Three Arrows Capital;NEAR
Uniswap;Three Arrows Capital;UNI
Lido DAO;Three Arrows Capital;LDO
Aave;Three Arrows Capital;AAVE
Synthetix;Three Arrows Capital;SNX
Mina;Three Arrows Capital;MINA
dYdX (ethDYDX);Three Arrows Capital;ETHDYDX
WOO;Three Arrows Capital;WOO
Compound;Three Arrows Capital;COMP
yearn.finance;Three Arrows Capital;YFI
Balancer;Three Arrows Capital;BAL
Synapse;Three Arrows Capital;SYN
Orca;Three Arrows Capital;ORCA
Kyber Network Crystal v2;Three Arrows Capital;KNC
DODO;Three Arrows Capital;DODO
Perpetual Protocol;Three Arrows Capital;PERP
Bonfida;Three Arrows Capital;FIDA
Tranchess;Three Arrows Capital;CHESS
Carbon Protocol;Three Arrows Capital;SWTH
Multichain;Three Arrows Capital;MULTI
dHedge DAO;Three Arrows Capital;DHT
mStable Governance Token: Meta (MTA);Three Arrows Capital;MTA
Rook;Three Arrows Capital;ROOK
Nerve Finance;Three Arrows Capital;NRV
Jet Protocol;Three Arrows Capital;JET
Realy;Three Arrows Capital;REAL
HXRO;Three Arrows Capital;HXRO
Futureswap;Three Arrows Capital;FST
