NAME;PORTFOLIO;SYMBOL
Bitcoin;Paradigm;BTC
Ethereum;Paradigm;ETH
Uniswap;Paradigm;UNI
Cosmos;Paradigm;ATOM
Maker;Paradigm;MKR
Lido DAO;Paradigm;LDO
Synthetix;Paradigm;SNX
Echelon Prime;Paradigm;PRIME
dYdX (ethDYDX);Paradigm;ETHDYDX
Compound;Paradigm;COMP
Siacoin;Paradigm;SC
Numeraire;Paradigm;NMR
Keep Network;Paradigm;KEEP
Gitcoin;Paradigm;GTC
Euler;Paradigm;EUL
