;+#;Nombre;Precio;1h %;24 h %;7d %;Cap. de Mercado;Volumen (24h);Acciones en circulación
0;2;Ethereum ETH;$3,072.44;-0.25%;+2.07%;-12.49%;$368.91B $368,914,197,986;$15,340,418,124 5,003,070 ETH;120,072,117 ETH
1;11;Shiba Inu SHIB;$0.00002285;+0.17%;+2.72%;-17.19%;$13.47B $13,467,725,316;$467,017,415 20,485,132,680,649 SHIB;589,289,410,812,691 SHIB
2;22;Dai DAI;$0.9999;-0.00%;-0.01%;-0.01%;$5.35B $5,347,850,565;$254,554,269 254,554,647 DAI;5,347,888,596 DAI
3;26;Mantle MNT;$1.17;+0.93%;+1.26%;-8.09%;$3.84B $3,835,531,432;$83,206,188 71,575,485 MNT;3,264,441,708 MNT
4;27;First Digital USD FDUSD;$1.00;+0.05%;+0.07%;-0.04%;$3.68B $3,675,360,388;$7,934,336,941 7,934,451,693 FDUSD;3,673,766,597 FDUSD
5;35;Render RNDR;$7.93;+0.09%;+1.91%;-11.51%;$3.07B $3,066,019,682;$170,097,167 21,428,381 RNDR;384,361,224 RNDR
6;36;Arbitrum ARB;$1.15;-0.09%;+2.69%;-19.24%;$3.03B $3,034,578,349;$277,746,999 242,436,974 ARB;2,653,939,384 ARB
7;61;Beam BEAM;$0.02636;+0.10%;+2.38%;-17.77%;$1.39B $1,390,114,047;$32,548,547 1,232,430,938 BEAM;52,951,176,339 BEAM
8;74;Ondo ONDO;$0.7788;-0.94%;-4.71%;-6.69%;$1.07B $1,074,413,454;$324,764,113 412,404,797 ONDO;1,389,759,838 ONDO
9;76;Wormhole W;$0.5874;-0.23%;+1.20%;-24.12%;$1.07B $1,074,415,205;$129,758,016 220,897,528 W;1,800,000,000 W
10;80;The Sandbox SAND;$0.4394;+0.15%;+0.53%;-27.91%;$993.07M $993,069,395;$96,783,111 220,257,541 SAND;2,251,731,926 SAND
11;83;Worldcoin WLD;$5.06;-0.09%;+5.31%;-20.82%;$959.72M $959,717,449;$258,938,873 51,155,758 WLD;190,564,386 WLD
12;90;JasmyCoin JASMY;$0.01856;+0.14%;+2.18%;-18.73%;$915.14M $915,142,562;$64,541,567 3,486,049,977 JASMY;49,299,999,677 JASMY
13;92;Starknet STRK;$1.26;+0.20%;+0.94%;-31.28%;$912.51M $912,511,594;$91,561,950 73,523,742 STRK;728,000,000 STRK
14;100;Axelar AXL;$1.20;+0.02%;+2.93%;-10.02%;$756.72M $756,724,570;$31,791,458 26,454,346 AXL;632,679,660 AXL
15;139;Manta Network MANTA;$1.83;-0.07%;-1.27%;-30.83%;$459.9M $459,904,777;$62,516,367 33,947,858 MANTA;251,000,000 MANTA
16;166;SafePal SFP;$0.8227;-0.02%;+6.51%;-5.40%;$381.11M $381,112,715;$12,806,030 15,636,611 SFP;462,500,000 SFP
17;168;OriginTrail TRAC;$0.9352;+0.30%;+4.68%;-11.98%;$378.58M $378,580,885;$3,046,363 3,275,266 TRAC;405,356,579 TRAC
18;169;Centrifuge CFG;$0.7717;-2.34%;+12.42%;-7.30%;$378.8M $378,801,366;$2,678,840 3,522,052 CFG;491,179,484 CFG
19;179;Aragon ANT;$8.17;-0.09%;+1.79%;-10.85%;$351.72M $351,717,354;$6,152,426 749,701 ANT;43,179,657 ANT
20;181;Arkham ARKM;$1.70;+0.12%;+6.75%;-13.54%;$347.57M $347,567,154;$94,935,265 55,912,566 ARKM;204,600,000 ARKM
21;182;Loopring LRC;$0.2533;+0.26%;+1.52%;-24.99%;$346.03M $346,033,798;$13,962,170 55,365,373 LRC;1,366,804,998 LRC
22;186;Mask Network MASK;$3.40;+0.21%;+3.63%;-28.64%;$326.49M $326,494,090;$55,409,424 16,337,132 MASK;96,025,000 MASK
23;206;Wrapped Beacon ETH WBETH;$3,182.36;+0.17%;+2.18%;-12.41%;$2.85B $2,852,365,586;$4,057,255 1,278 WBETH;896,359 WBETH
24;237;Omni Network OMNI;$25.60;+0.57%;-11.88%;-38.36%;$267.29M $267,292,206;$232,995,719 9,268,234 OMNI;10,391,492 OMNI
25;240;Chromia CHR;$0.305;+0.18%;-0.36%;-21.83%;$247.07M $247,065,326;$8,618,959 28,289,322 CHR;812,434,439 CHR
26;248;ICON ICX;$0.2337;+0.06%;+3.78%;-28.73%;$230.67M $230,665,963;$7,287,459 31,261,074 ICX;990,050,886 ICX
27;284;Celer Network CELR;$0.02595;+0.10%;+5.04%;-27.07%;$200.24M $200,241,263;$5,168,712 202,902,610 CELR;7,743,424,107 CELR
28;297;iExec RLC RLC;$2.52;+0.30%;+5.38%;-24.20%;$182.4M $182,403,224;$7,474,890 2,988,017 RLC;72,382,548 RLC
29;299;Marlin POND;$0.02215;+0.25%;+2.10%;-25.78%;$183.37M $183,373,422;$4,456,796 201,178,563 POND;8,087,375,977 POND
30;302;Aevo AEVO;$1.60;-0.15%;-0.63%;-34.46%;$175.57M $175,572,103;$56,522,255 35,473,034 AEVO;110,000,000 AEVO
31;304;CyberConnect CYBER;$8.72;+0.50%;+4.08%;-35.27%;$173.04M $173,039,267;$19,429,766 2,245,010 CYBER;19,901,944 CYBER
32;320;Venus XVS;$10.11;+0.41%;+4.13%;-34.35%;$159.45M $159,451,246;$8,514,527 845,625 XVS;15,779,936 XVS
33;323;IQ IQ;$0.008746;-0.20%;+2.19%;-24.76%;$157.83M $157,834,352;$10,501,805 1,210,576,967 IQ;18,032,726,356 IQ
34;327;Cartesi CTSI;$0.1993;+0.82%;+3.78%;-26.17%;$155.78M $155,775,517;$5,466,530 27,672,049 CTSI;782,867,306 CTSI
35;342;Phala Network PHA;$0.1978;+0.16%;+3.04%;-16.65%;$140.93M $140,926,962;$9,322,837 47,331,945 PHA;713,135,849 PHA
36;344;TrueFi TRU;$0.1227;-1.29%;+1.15%;-6.05%;$139.75M $139,748,352;$26,770,631 216,443,347 TRU;1,119,119,339 TRU
37;351;Gomining GMT;$0.3359;+0.08%;-0.24%;+0.15%;$135.16M $135,155,992;$5,373,191 15,967,209 GMT;401,643,157 GMT
38;363;Node AI GPU;$1.48;+1.05%;+3.49%;-22.33%;$132.27M $132,274,144;$1,933,145 1,338,081 GPU;90,264,133 GPU
39;372;MVL MVL;$0.00517;+0.25%;-1.31%;-22.77%;$126.79M $126,792,174;$8,116,760 1,582,991,746 MVL;24,652,958,863 MVL
40;380;ApeX Protocol APEX;$2.59;+0.80%;+1.85%;-16.87%;$118.8M $118,801,369;$46,528,647 17,844,080 APEX;45,974,352 APEX
41;382;Hashflow HFT;$0.3085;+0.35%;+1.67%;-23.47%;$119.15M $119,154,895;$15,293,815 49,757,190 HFT;386,489,713 HFT
42;397;Highstreet HIGH;$2.26;+0.07%;-1.16%;-26.36%;$113.61M $113,606,215;$14,778,256 6,542,262 HIGH;50,365,992 HIGH
43;398;XYO XYO;$0.008594;+1.24%;+2.82%;-12.76%;$115.67M $115,666,385;$1,698,008 201,645,888 XYO;13,476,747,692 XYO
44;403;Victoria VR VR;$0.02059;-0.23%;+2.47%;-29.14%;$110.03M $110,028,590;$1,521,232 73,511,999 VR;5,336,247,368 VR
45;411;ChainGPT CGPT;$0.2473;-0.59%;+2.75%;-19.16%;$106.77M $106,770,225;$6,500,949 26,284,641 CGPT;432,718,456 CGPT
46;414;Stargate Finance STG;$0.5218;+0.33%;+1.95%;-27.63%;$106.58M $106,582,041;$13,442,919 25,868,509 STG;204,338,417 STG
47;428;TokenFi TOKEN;$0.1008;-0.20%;-0.70%;-28.28%;$100.46M $100,460,576;$14,063,717 139,473,357 TOKEN;1,000,019,789 TOKEN
48;455;Forta FORT;$0.2307;-0.05%;-4.37%;+12.15%;$90.84M $90,840,684;$3,438,903 14,870,270 FORT;388,388,554 FORT
49;457;Heroes of Mavia MAVIA;$2.95;-0.21%;-0.42%;-39.26%;$88.29M $88,286,351;$32,786,328 11,166,880 MAVIA;30,000,396 MAVIA
50;465;Chainge XCHNG;$0.1819;-0.02%;+8.55%;-21.56%;$86.86M $86,862,369;$5,500,729 30,318,269 XCHNG;474,046,128 XCHNG
51;496;Artificial Liquid Intelligence ALI;$0.02068;-0.15%;+3.09%;-2.89%;$74.36M $74,360,058;$1,840,840 89,040,001 ALI;3,588,163,660 ALI
52;508;PepeFork PORK;$0.0...01699;-0.11%;+1.61%;-29.03%;$72.03M $72,027,449;$3,715,749 21,869,815,418,115 PORK;420,690,000,000,000 PORK
53;528;Agoras: Currency of Tau AGRS;$3.67;+0.17%;-3.70%;-29.21%;$65.44M $65,443,837;$347,785 94,948 AGRS;18,000,000 AGRS
54;532;LimeWire LMWR;$1.05;+0.01%;+1.62%;-18.46%;$65.14M $65,139,083;$4,633,575 4,431,513 LMWR;62,352,281 LMWR
55;545;Gods Unchained GODS;$0.2165;+0.44%;+0.41%;-25.10%;$61.69M $61,686,363;$1,014,077 4,694,565 GODS;285,416,667 GODS
56;551;CLV CLV;$0.07577;+0.53%;+1.70%;-25.81%;$61.35M $61,353,863;$8,494,023 112,105,805 CLV;803,717,460 CLV
57;554;Numbers Protocol NUM;$0.1006;+0.77%;+8.70%;-23.48%;$61.31M $61,308,537;$1,161,317 11,650,216 NUM;608,368,916 NUM
58;559;Bella Protocol BEL;$0.924;-0.02%;+1.23%;-39.24%;$60.86M $60,858,853;$18,075,186 19,561,292 BEL;65,000,000 BEL
59;563;Astrafer ASTRAFER;$0.378;+0.00%;+0.73%;+1.10%;$59.13M $59,126,713;$201 531 ASTRAFER;156,417,090 ASTRAFER
60;568;Pandora PANDORA;$6,042.04;+4.15%;+6.08%;-29.74%;$60.43M $60,430,871;$5,412,433 935 PANDORA;10,000 PANDORA
61;577;The Root Network ROOT;$0.05476;+0.15%;+3.87%;-16.89%;$56.94M $56,943,856;$7,396,521 135,122,379 ROOT;1,038,925,778 ROOT
62;589;Moon Tropica CAH;$23.93;+0.22%;-1.56%;-26.40%;$54.59M $54,591,801;$278,816 11,675 CAH;2,236,269 CAH
63;590;DIA DIA;$0.4831;+0.53%;+5.70%;-21.65%;$53.55M $53,554,596;$8,508,999 17,681,475 DIA;110,617,604 DIA
64;591;Cornucopias COPI;$0.06253;-0.32%;+1.83%;-20.65%;$53.2M $53,195,990;$534,333 8,545,333 COPI;848,670,162 COPI
65;627;Vertex Protocol VRTX;$0.2097;-1.56%;+14.26%;-14.40%;$45.91M $45,911,412;$5,726,710 26,975,641 VRTX;221,087,464 VRTX
66;632;PlayDapp PDA;$0.08194;+0.85%;+1.58%;-35.12%;$46.52M $46,517,923;$11,246,041 138,048,678 PDA;569,084,159 PDA
